Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
11/25/2019,0, SQUARE INC       * CASH APP T20,10.00,0,1903.27
11/18/2019,0, POPEYES 4522               ATLA,7.18,0,1928.27
11/18/2019,0, SQUARE INC       * CASH APP T20,15.00,0,1913.27
11/15/2019,0, KROGER 34 1715             ATLA,41.55,0,1935.45
11/14/2019,0, BOCADO                     ATLA,2.58,0,1982.25
11/14/2019,0, KROGER 34 1715             ATLA,5.25,0,1977.00
11/13/2019,0, SQUARE INC       * CASH APP    ,0,39.00,984.83
11/13/2019,0, ALLY BANK        P2P           ,0,1000.00,1984.83
11/12/2019,0, VENMO            CASHOUT       ,0,262.00,945.83
11/06/2019,0, SQUARE INC       * CASH APP T20,10.00,0,683.83
11/05/2019,0, S068AC1          RENT       102,789.95,0,693.83
11/01/2019,0, MOBILE APP TRANSFER FROM 100002,0,200.00,1483.78
10/30/2019,0, SQUARE INC       * CASH APP T20,20.00,0,1283.78
10/29/2019,0, ALLY BANK        P2P           ,0,800.00,1303.78
10/28/2019,0, SQUARE INC       * CASH APP T20,12.00,0,503.78
10/16/2019,0, WM SUPERCENTER #           ALPH,2.02,0,515.78
10/15/2019,0, VENMO            CASHOUT       ,0,500.00,569.44
10/15/2019,0, WM SUPERCENTER #           ATLA,51.64,0,517.80
10/11/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,469.31,0,69.44
10/10/2019,0, BIRD APP                   8662,10.00,0,538.75
10/10/2019,0, BIRD APP                   8662,10.00,0,548.75
10/07/2019,0, QT 729        07007297     ATLA,1.04,0,558.75
10/03/2019,0, GSU CHICK-FIL-A            ATLA,2.38,0,559.79
10/02/2019,0, 1001 00004683         000021300,0.00,0,1420.62
10/02/2019,0, RACETRAC 2421              ATLA,1.08,0,1420.62
10/02/2019,0, KROGER 34 1715             ATLA,1.75,0,1421.70
10/02/2019,0, ATM BALANCE INQUIRY FEE  ,3.00,0,1417.62
10/02/2019,0, ATM CASH WITHDRAWAL FEE  ,3.00,0,1352.12
10/02/2019,0, 1001 00004683         000021400,62.50,0,1355.12
10/02/2019,0, S068AC1          RENT       100,789.95,0,562.17
10/01/2019,0, SQUARE INC       * CASH APP    ,0,20.00,623.45
10/01/2019,0, MOBILE APP TRANSFER FROM 100002,0,200.00,603.45
10/01/2019,0, ALLY BANK        P2P           ,0,800.00,1423.45
09/30/2019,0, VENMO            CASHOUT       ,0,65.00,403.45
09/27/2019,0, SQUARE INC       * CASH APP    ,0,15.00,338.45
09/26/2019,0, VENMO            CASHOUT       ,0,20.00,343.45
09/26/2019,0, SQUARE INC       * CASH APP T20,20.00,0,323.45
09/25/2019,0, BIRD APP                   8662,10.00,0,323.45
09/25/2019,0, BIRD APP                   8662,10.00,0,333.45
09/16/2019,0, VENMO            PAYMENT    249,25.00,0,343.45
09/12/2019,0,DEPOSIT,0,257.67,697.73
09/12/2019,0, VENMO            PAYMENT    248,28.00,0,669.73
09/12/2019,0, ALLY CASHBACK CC ONLINE PMT CKF,301.28,0,368.45
09/11/2019,0, SQUARE INC       * CASH APP T20,20.00,0,440.06
09/05/2019,0, CASH APP*DENZELLE T        4153,10.00,0,460.06
09/04/2019,0, S068AC1          RENT       997,789.95,0,470.06
09/03/2019,0, MOBILE APP TRANSFER FROM 100002,0,200.00,1277.51
09/03/2019,0, VENMO            PAYMENT    243,7.50,0,1260.01
09/03/2019,0, CASH APP*DENZELLE T        4153,10.00,0,1267.51
08/30/2019,0, BIRD APP                   8662,20.00,0,1077.51
08/29/2019,0, GSU PARKING DECK SKN       ATLA,5.00,0,1107.51
08/29/2019,0, PEACHTREE INDUSTRIAL       DULU,5.01,0,1112.51
08/29/2019,0, CHICK-FIL-A #00821         DULU,8.15,0,1117.52
08/29/2019,0, SQU*SQ *CAFE HOT WING      ATLA,10.00,0,1097.51
