Transactions for CHECKING-5550,,,,,
Date,Check Number,Description,Debit,Credit,Running Balance
11/01/2018,0, KROGER FU 3455             DULU,23.46,0,92.12
10/31/2018,0, BURGER KING #9649  Q07     ATLA,6.31,0,115.58
10/30/2018,0, PARTY CITY 143             DULU,9.28,0,121.89
10/29/2018,0, VENMO            PAYMENT    145,1.00,0,144.17
10/29/2018,0, VENMO            PAYMENT    145,1.00,0,145.17
10/29/2018,0, KROGER 381                 DULU,5.09,0,154.32
10/29/2018,0, LANIER PARKING 2101170     ATLA,6.00,0,183.01
10/29/2018,0, CHICK-FIL-A #00821         DULU,8.15,0,146.17
10/29/2018,0, VENMO            PAYMENT    144,13.00,0,131.17
10/29/2018,0, DRY COUNTY BREWING         KENN,23.60,0,159.41
10/26/2018,0, CHEVRON/EAST MARIETTA      MARI,3.05,0,196.01
10/26/2018,0, 038FBV STUDIO MOVIE GR     MARI,7.00,0,189.01
10/26/2018,0, 038BOX STUDIO MOVIE GR     MARI,8.75,0,199.06
10/26/2018,0, PHO HOUSE.                 DULU,13.06,0,256.60
10/26/2018,0, QUIKTRIP                   DULU,20.98,0,207.81
10/26/2018,0, PARTY CITY 143             DULU,27.81,0,228.79
10/25/2018,0, DUNKIN #310092 Q35         ATLA,1.75,0,269.66
10/24/2018,0, WALGREENS STOR             ATLA,3.15,0,321.41
10/24/2018,0, CHICK-FIL-A #00821         DULU,3.59,0,334.30
10/24/2018,0, GSU PANTHER DINING RET     ATLA,9.74,0,324.56
10/24/2018,0, ALLY BANK        $TRANSFER  140,50.00,0,271.41
10/23/2018,0, QT 831        07008311     DULU,0.52,0,362.89
10/23/2018,00000000506,CHECK,25.00,0,337.89
10/19/2018,0, VENMO            CASHOUT       ,0,9.99,403.94
10/19/2018,0, KROGER 38 3455             DULU,2.20,0,390.74
10/19/2018,0, VIP BILLIARDS              DULU,11.00,0,392.94
10/19/2018,0, VENMO            PAYMENT    142,27.33,0,363.41
10/18/2018,0, SAXBYS - GSU               ATLA,1.96,0,428.28
10/18/2018,0, TACO MAC 21                DULU,34.33,0,393.95
10/17/2018,0, WILLYS GEORGIA STATE       ATLA,7.57,0,455.50
10/17/2018,0, QUIKTRIP                   DULU,25.26,0,430.24
10/16/2018,0, WAFFLE HOUSE 1890          ATLA,3.00,0,463.07
10/15/2018,0, BURGER KING #6506  Q07     NORC,2.96,0,497.74
10/15/2018,0, CVS/PHARMACY #             ATLA,5.01,0,466.07
10/15/2018,0, LANIER PARKING 2101170     ATLA,12.00,0,500.70
10/15/2018,0, KROGER FU 3455             DULU,26.66,0,471.08
10/12/2018,0, SQU*SQ *EBRIK COFFEE R     ATLA,6.99,0,512.70
10/11/2018,0, WILLYS GEORGIA STATE       ATLA,1.09,0,536.36
10/11/2018,0, DUNKIN #310092 Q35         ATLA,6.28,0,537.45
10/11/2018,0, SAXBYS - GSU               ATLA,6.95,0,543.73
10/11/2018,0, MOE S SW GRILL 125 QPS     NORC,16.67,0,519.69
10/10/2018,0, SQU*SQ *BEST CAJUN ASI     ATLA,7.75,0,550.68
10/09/2018,0, SQUARE *SQ *EZENTEA LL     CHAM,3.74,0,558.43
10/09/2018,0, QT 831        07008311     DULU,5.77,0,575.17
10/09/2018,0, EPC*FORTNITE               919-,9.99,0,580.94
10/09/2018,0, VIP BILLIARDS              DULU,13.00,0,562.17
10/05/2018,0, VIP BILLIARDS              DULU,18.00,0,590.93
10/04/2018,0, CMSVEND*GEORGIA VENDIN     ALPH,0.75,0,608.93
10/04/2018,0, SAXBYS - GSU               ATLA,1.96,0,617.79
10/04/2018,0, SQ *SQ *MAMA MIA PIZZA     ATLA,3.81,0,609.68
10/04/2018,0, STARBUCKS STORE 08209      ATLA,4.30,0,613.49
10/03/2018,0, SQU*SQ *BLOSSOM TREE       ATLA,7.51,0,619.75
10/03/2018,0, SUBWAY        00202341     ATLA,9.30,0,627.26
10/02/2018,0, KROGER 38 3455             DULU,1.53,0,636.56
10/01/2018,0, SWEET HUT BAKERY   CAF     DULU,2.70,0,709.75
10/01/2018,0, COOK OUT TUCKER            TUCK,5.39,0,694.36
10/01/2018,0, WALGREENS 25 P             ATLA,8.70,0,638.09
10/01/2018,0, EINSTEIN BROS BAGELS31     DULU,8.88,0,685.48
10/01/2018,0, LANIER PARKING 2101170     ATLA,10.00,0,699.75
10/01/2018,0, QUIKTRIP                   DULU,26.49,0,712.45
10/01/2018,0, QUIKTRIP                   DULU,38.69,0,646.79
09/28/2018,0, CHECKERS 1135              DULU,2.19,0,744.95
09/28/2018,0, SQU*SQ *BEST CAJUN ASI     ATLA,2.20,0,742.75
09/28/2018,0, WILLYS GEORGIA STATE       ATLA,3.81,0,738.94
09/27/2018,0, WILLYS GEORGIA STATE       ATLA,1.09,0,752.14
09/27/2018,0, DUNKIN #310092 Q35         ATLA,2.28,0,756.74
09/27/2018,0, DUNKIN #310092 Q35         ATLA,3.51,0,753.23
09/27/2018,0, MARTA                      ATLA,5.00,0,747.14
09/26/2018,0, RACETRAC490                NORC,2.03,0,759.02
09/25/2018,0, ALLY BANK        $TRANSFER  137,50.00,0,761.05
09/24/2018,0, VENMO            CASHOUT       ,0,203.50,1021.99
09/24/2018,0, CHICK-FIL-A #00821         DULU,3.59,0,1018.40
09/24/2018,0, TACO MAC 21                DULU,7.35,0,1011.05
09/24/2018,0, VENMO            PAYMENT    136,200.00,0,811.05
09/20/2018,0, DUNKIN #310092 Q35         ATLA,3.51,0,818.49
09/18/2018,0, DUNKIN #310092 Q35         ATLA,0.24,0,826.07
09/18/2018,0, DUNKIN #310092 Q35         ATLA,1.95,0,826.31
09/18/2018,0, CMSVEND*GEORGIA VENDIN     ALPH,2.00,0,828.26
09/18/2018,0, WALGREENS 25 P             ATLA,4.07,0,822.00
09/17/2018,0, QT 831        07008311     DULU,1.16,0,860.32
09/17/2018,0, COOK OUT PONCE DE LEON     ATLA,10.06,0,850.26
09/17/2018,0, MARTA                      ATLA,20.00,0,830.26
09/14/2018,0, QUIKTRIP                   DULU,36.14,0,861.48
09/13/2018,0, DUNKIN #310092 Q35         ATLA,3.51,0,1056.05
09/13/2018,0, SUBWAY        00598474     ATLA,3.80,0,1059.56
09/13/2018,0, TO 0175 1000027445740  ,158.43,0,897.62
09/12/2018,0, MARTA                      ATLA,5.00,0,1063.36
09/12/2018,0, WILLYS GEORGIA STATE       ATLA,9.66,0,1068.36
09/11/2018,0, DUNKIN #310092 Q35         ATLA,2.05,0,1114.77
09/11/2018,0, WALTERS CLOTHING           ATLA,36.75,0,1078.02
09/10/2018,0, MARTA                      ATLA,5.00,0,1116.82
09/10/2018,0, QUIKTRIP                   DULU,15.18,0,1121.82
09/07/2018,0, MARTA                      ATLA,2.50,0,1137.00
09/07/2018,0, SQUARE *SQ *ROLY POLY      ATLA,5.63,0,1139.50
09/07/2018,0, PHO HOUSE.                 DULU,15.06,0,1145.13
09/06/2018,0, CHECKERS 1135              DULU,2.12,0,1165.75
