Date,Check Number,Description,Type,Charge,Debit,Credit,Running Balance
9/4/18,0, RACETRAC100                BRAD,Food,3.98,3.98,0,1179.3
9/4/18,0, MARTA                      ATLA,Transportation,6,6,0,1173.3
9/4/18,0, JOES EATS   SWEETS INC     BRAD,Food,10,10,0,1183.28
9/5/18,0, MOE S SW GRILL 4991        ATLA,Food,5.43,5.43,0,1167.87
9/6/18,0, CHECKERS 1135              DULU,Food,2.12,2.12,0,1165.75
9/6/18,0, DUNKIN #310092 Q35         ATLA,Food,5.56,5.56,0,1160.19
9/7/18,0, MARTA                      ATLA,Transportation,2.5,2.5,0,1137
9/7/18,0, SQUARE *SQ *ROLY POLY      ATLA,Food,5.63,5.63,0,1139.5
9/7/18,0, PHO HOUSE.                 DULU,Food,15.06,15.06,0,1145.13
9/10/18,0, MARTA                      ATLA,Transportation,5,5,0,1116.82
9/10/18,0, QUIKTRIP                   DULU,Gasoline,15.18,15.18,0,1121.82
9/11/18,0, DUNKIN #310092 Q35         ATLA,Food,2.05,2.05,0,1114.77
9/11/18,0, WALTERS CLOTHING           ATLA,Fashion,36.75,36.75,0,1078.02
9/12/18,0, MARTA                      ATLA,Transportation,5,5,0,1063.36
9/12/18,0, WILLYS GEORGIA STATE       ATLA,Food,9.66,9.66,0,1068.36
9/13/18,0, DUNKIN #310092 Q35         ATLA,Food,3.51,3.51,0,1056.05
9/13/18,0, SUBWAY        00598474     ATLA,Food,3.8,3.8,0,1059.56
9/13/18,0, TO 0175 1000027445740  ,Mom Payment,158.43,158.43,0,897.62
9/14/18,0, QUIKTRIP                   DULU,Gasoline,36.14,36.14,0,861.48
9/17/18,0, QT 831        07008311     DULU,Food,1.16,1.16,0,860.32
9/17/18,0, COOK OUT PONCE DE LEON     ATLA,Food,10.06,10.06,0,850.26
9/17/18,0, MARTA                      ATLA,Transportation,20,20,0,830.26
9/18/18,0, DUNKIN #310092 Q35         ATLA,Food,0.24,0.24,0,826.07
9/18/18,0, DUNKIN #310092 Q35         ATLA,Food,1.95,1.95,0,826.31
9/18/18,0, CMSVEND*GEORGIA VENDIN     ALPH,Food,2,2,0,828.26
9/18/18,0, WALGREENS 25 P             ATLA,Food,4.07,4.07,0,822
9/20/18,0, DUNKIN #310092 Q35         ATLA,Food,3.51,3.51,0,818.49
9/24/18,0, VENMO            CASHOUT       ,Money Transfer - Credit,203.5,0,203.5,1021.99
